model,imgsz,class,instance,percent,confidence
yolo26n.pt,640,Bike,A,10,0.919106125831604
yolo26n.pt,1280,Bike,A,10,0.8519073128700256
yolo26n.pt,640,Bike,F,10,0.9175089597702026
yolo26n.pt,1280,Bike,F,10,0.9485110640525818
yolo26n.pt,640,Carro,B,10,0.8779626488685608
yolo26n.pt,1280,Carro,B,10,0.9184903502464294
yolo26n.pt,640,Carro,V,10,0.9059731364250183
yolo26n.pt,1280,Carro,V,10,0.9144559502601624
yolo26n.pt,640,Copo,S,10,0.7537335157394409
yolo26n.pt,1280,Copo,S,10,0.8706967830657959
yolo26n.pt,640,Copo,Vidro,10,0.7584179043769836
yolo26n.pt,1280,Copo,Vidro,10,0.8902741074562073
yolo26n.pt,640,Notebook,E,10,0.944233775138855
yolo26n.pt,1280,Notebook,E,10,0.8127791881561279
yolo26n.pt,640,Notebook,P,10,0.086601622402668
yolo26n.pt,1280,Notebook,P,10,0.9508240222930908
yolo26n.pt,640,Bike,A,1,0.0011421323288232088
yolo26n.pt,1280,Bike,A,1,0.11228898912668228
yolo26n.pt,640,Bike,A,1,0.06333988904953003
yolo26n.pt,1280,Bike,A,1,0.18537665903568268
yolo26n.pt,640,Bike,A,1,0.030583146959543228
yolo26n.pt,1280,Bike,A,1,0.8714693784713745
yolo26n.pt,640,Bike,F,1,0.0024865129962563515
yolo26n.pt,1280,Bike,F,1,0.49156588315963745
yolo26n.pt,640,Bike,F,1,0.19908322393894196
yolo26n.pt,1280,Bike,F,1,0.6408199071884155
yolo26n.pt,640,Carro,B,1,0.6379490494728088
yolo26n.pt,1280,Carro,B,1,0.7296729683876038
yolo26n.pt,640,Carro,B,1,0.4234563708305359
yolo26n.pt,1280,Carro,B,1,0.7148423790931702
yolo26n.pt,640,Carro,V,1,0.8349941372871399
yolo26n.pt,1280,Carro,V,1,0.919981062412262
yolo26n.pt,640,Carro,V,1,0.7897939085960388
yolo26n.pt,1280,Carro,V,1,0.8994802832603455
yolo26n.pt,640,Copo,S,1,0.0
yolo26n.pt,1280,Copo,S,1,0.0
yolo26n.pt,640,Copo,S,1,0.009968156926333904
yolo26n.pt,1280,Copo,S,1,0.6516283750534058
yolo26n.pt,640,Copo,Vidro,1,0.029246602207422256
yolo26n.pt,1280,Copo,Vidro,1,0.10822974890470505
yolo26n.pt,640,Notebook,E,1,0.0
yolo26n.pt,1280,Notebook,E,1,0.0
yolo26n.pt,640,Notebook,E,1,0.0
yolo26n.pt,1280,Notebook,E,1,0.039832308888435364
yolo26n.pt,640,Notebook,P,1,0.0018698952626436949
yolo26n.pt,1280,Notebook,P,1,0.29373496770858765
yolo26n.pt,640,Bike,A,25,0.9553371071815491
yolo26n.pt,1280,Bike,A,25,0.5093958973884583
yolo26n.pt,640,Bike,F,25,0.9553354978561401
yolo26n.pt,1280,Bike,F,25,0.815509021282196
yolo26n.pt,640,Bike,F,25,0.9282143115997314
yolo26n.pt,1280,Bike,F,25,0.8866596221923828
yolo26n.pt,640,Carro,B,25,0.9340257048606873
yolo26n.pt,1280,Carro,B,25,0.1078922227025032
yolo26n.pt,640,Carro,V,25,0.9158796072006226
yolo26n.pt,1280,Carro,V,25,0.8915124535560608
yolo26n.pt,640,Copo,S,25,0.8963892459869385
yolo26n.pt,1280,Copo,S,25,0.8482722043991089
yolo26n.pt,640,Copo,Vidro,25,0.8927786350250244
yolo26n.pt,1280,Copo,Vidro,25,0.4109630882740021
yolo26n.pt,640,Notebook,E,25,0.9777814745903015
yolo26n.pt,1280,Notebook,E,25,0.29497429728507996
yolo26n.pt,640,Notebook,P,25,0.9599531292915344
yolo26n.pt,1280,Notebook,P,25,0.7820992469787598
